"id","id2","año","año2","año3","partido","fecha","fase","grupo","id_grupo","pais","pais_min","xx","xxx","id_jugador","apellido","nombre","xxxx","id_pais_jugador","pais_jugador","pais_jugador_min","tiempo_gol","tiempo_gol2","xxxxx","parte_partido","xxxxxx","xxxxxx"
"48","G-0048","1930","1930 FIFA World Cup","M-1930-15","Argentina v Chile","1930-07-22","group stage","Group 1","T-03","Argentina","ARG","1","0","P-04418","Stábile","Guillermo","0","T-03","Argentina","ARG","13'","13","0","first half","0","0"
"49","G-0049","1930","1930 FIFA World Cup","M-1930-15","Argentina v Chile","1930-07-22","group stage","Group 1","T-03","Argentina","ARG","1","0","P-06416","Evaristo","Mario","0","T-03","Argentina","ARG","51'","51","0","second half","0","0"
"50","G-0050","1930","1930 FIFA World Cup","M-1930-15","Argentina v Chile","1930-07-22","group stage","Group 1","T-13","Chile","CHL","0","1","P-04702","Subiabre","Guillermo","0","T-13","Chile","CHL","15'","15","0","first half","0","0"
"51","G-0051","1930","1930 FIFA World Cup","M-1930-16","Argentina v United States","1930-07-26","semi-finals","not applicable","T-03","Argentina","ARG","1","0","P-03789","Monti","Luis","0","T-03","Argentina","ARG","20'","20","0","first half","0","0"
"52","G-0052","1930","1930 FIFA World Cup","M-1930-16","Argentina v United States","1930-07-26","semi-finals","not applicable","T-03","Argentina","ARG","1","0","P-03988","Scopelli","Alejandro","0","T-03","Argentina","ARG","56'","56","0","second half","0","0"
"53","G-0053","1930","1930 FIFA World Cup","M-1930-16","Argentina v United States","1930-07-26","semi-finals","not applicable","T-03","Argentina","ARG","1","0","P-04418","Stábile","Guillermo","0","T-03","Argentina","ARG","69'","69","0","second half","0","0"
"54","G-0054","1930","1930 FIFA World Cup","M-1930-16","Argentina v United States","1930-07-26","semi-finals","not applicable","T-03","Argentina","ARG","1","0","P-04418","Stábile","Guillermo","0","T-03","Argentina","ARG","87'","87","0","second half","0","0"
"55","G-0055","1930","1930 FIFA World Cup","M-1930-16","Argentina v United States","1930-07-26","semi-finals","not applicable","T-03","Argentina","ARG","1","0","P-03816","Peucelle","Carlos","0","T-03","Argentina","ARG","80'","80","0","second half","0","0"
"56","G-0056","1930","1930 FIFA World Cup","M-1930-16","Argentina v United States","1930-07-26","semi-finals","not applicable","T-03","Argentina","ARG","1","0","P-03816","Peucelle","Carlos","0","T-03","Argentina","ARG","85'","85","0","second half","0","0"
"57","G-0057","1930","1930 FIFA World Cup","M-1930-16","Argentina v United States","1930-07-26","semi-finals","not applicable","T-79","United States","USA","0","1","P-05896","Brown","Jim","0","T-79","United States","USA","89'","89","0","second half","0","0"
"58","G-0058","1930","1930 FIFA World Cup","M-1930-17","Uruguay v Yugoslavia","1930-07-27","semi-finals","not applicable","T-80","Uruguay","URY","1","0","P-00724","Cea","Pedro","0","T-80","Uruguay","URY","18'","18","0","first half","0","0"
"59","G-0059","1930","1930 FIFA World Cup","M-1930-17","Uruguay v Yugoslavia","1930-07-27","semi-finals","not applicable","T-80","Uruguay","URY","1","0","P-00724","Cea","Pedro","0","T-80","Uruguay","URY","67'","67","0","second half","0","0"
"60","G-0060","1930","1930 FIFA World Cup","M-1930-17","Uruguay v Yugoslavia","1930-07-27","semi-finals","not applicable","T-80","Uruguay","URY","1","0","P-00724","Cea","Pedro","0","T-80","Uruguay","URY","72'","72","0","second half","0","0"
"61","G-0061","1930","1930 FIFA World Cup","M-1930-17","Uruguay v Yugoslavia","1930-07-27","semi-finals","not applicable","T-80","Uruguay","URY","1","0","P-08997","Anselmo","Peregrino","0","T-80","Uruguay","URY","20'","20","0","first half","0","0"
"62","G-0062","1930","1930 FIFA World Cup","M-1930-17","Uruguay v Yugoslavia","1930-07-27","semi-finals","not applicable","T-80","Uruguay","URY","1","0","P-08997","Anselmo","Peregrino","0","T-80","Uruguay","URY","31'","31","0","first half","0","0"
"63","G-0063","1930","1930 FIFA World Cup","M-1930-17","Uruguay v Yugoslavia","1930-07-27","semi-finals","not applicable","T-80","Uruguay","URY","1","0","P-05989","Iriarte","Santos","0","T-80","Uruguay","URY","61'","61","0","second half","0","0"
"64","G-0064","1930","1930 FIFA World Cup","M-1930-17","Uruguay v Yugoslavia","1930-07-27","semi-finals","not applicable","T-83","Yugoslavia","YUG","0","1","P-03989","Vujadinović","Đorđe","0","T-83","Yugoslavia","YUG","4'","4","0","first half","0","0"
"65","G-0065","1930","1930 FIFA World Cup","M-1930-18","Uruguay v Argentina","1930-07-30","final","not applicable","T-80","Uruguay","URY","1","0","P-00275","Dorado","Pablo","0","T-80","Uruguay","URY","12'","12","0","first half","0","0"
"66","G-0066","1930","1930 FIFA World Cup","M-1930-18","Uruguay v Argentina","1930-07-30","final","not applicable","T-80","Uruguay","URY","1","0","P-00724","Cea","Pedro","0","T-80","Uruguay","URY","57'","57","0","second half","0","0"
"67","G-0067","1930","1930 FIFA World Cup","M-1930-18","Uruguay v Argentina","1930-07-30","final","not applicable","T-80","Uruguay","URY","1","0","P-05989","Iriarte","Santos","0","T-80","Uruguay","URY","68'","68","0","second half","0","0"
"68","G-0068","1930","1930 FIFA World Cup","M-1930-18","Uruguay v Argentina","1930-07-30","final","not applicable","T-80","Uruguay","URY","1","0","P-00826","Castro","Héctor","0","T-80","Uruguay","URY","89'","89","0","second half","0","0"
"69","G-0069","1930","1930 FIFA World Cup","M-1930-18","Uruguay v Argentina","1930-07-30","final","not applicable","T-03","Argentina","ARG","0","1","P-03816","Peucelle","Carlos","0","T-03","Argentina","ARG","20'","20","0","first half","0","0"
"70","G-0070","1930","1930 FIFA World Cup","M-1930-18","Uruguay v Argentina","1930-07-30","final","not applicable","T-03","Argentina","ARG","0","1","P-04418","Stábile","Guillermo","0","T-03","Argentina","ARG","37'","37","0","first half","0","0"
"71","G-0071","1934","1934 FIFA World Cup","M-1934-01","Austria v France","1934-05-27","round of 16","not applicable","T-05","Austria","AUT","1","0","P-07395","Sindelar","Matthias","0","T-05","Austria","AUT","44'","44","0","first half","0","0"
"72","G-0072","1934","1934 FIFA World Cup","M-1934-01","Austria v France","1934-05-27","round of 16","not applicable","T-05","Austria","AUT","1","0","P-06987","Schall","Anton","0","T-05","Austria","AUT","93'","93","0","extra time, first half","0","0"
"73","G-0073","1934","1934 FIFA World Cup","M-1934-01","Austria v France","1934-05-27","round of 16","not applicable","T-05","Austria","AUT","1","0","P-03565","Bican","Josef","0","T-05","Austria","AUT","109'","109","0","extra time, second half","0","0"
"74","G-0074","1934","1934 FIFA World Cup","M-1934-01","Austria v France","1934-05-27","round of 16","not applicable","T-28","France","FRA","0","1","P-01289","Nicolas","Jean","0","T-28","France","FRA","18'","18","0","first half","0","0"
"75","G-0075","1934","1934 FIFA World Cup","M-1934-01","Austria v France","1934-05-27","round of 16","not applicable","T-28","France","FRA","0","1","P-00692","Verriest","Georges","0","T-28","France","FRA","116'","116","0","extra time, second half","0","1"
"76","G-0076","1934","1934 FIFA World Cup","M-1934-02","Czechoslovakia v Romania","1934-05-27","round of 16","not applicable","T-20","Czechoslovakia","CSK","1","0","P-02061","Puč","Antonín","0","T-20","Czechoslovakia","CSK","50'","50","0","second half","0","0"
"77","G-0077","1934","1934 FIFA World Cup","M-1934-02","Czechoslovakia v Romania","1934-05-27","round of 16","not applicable","T-20","Czechoslovakia","CSK","1","0","P-05627","Nejedlý","Oldřich","0","T-20","Czechoslovakia","CSK","67'","67","0","second half","0","0"
"78","G-0078","1934","1934 FIFA World Cup","M-1934-02","Czechoslovakia v Romania","1934-05-27","round of 16","not applicable","T-58","Romania","ROU","0","1","P-08716","Dobay","Ștefan","0","T-58","Romania","ROU","11'","11","0","first half","0","0"
"79","G-0079","1934","1934 FIFA World Cup","M-1934-03","Germany v Belgium","1934-05-27","round of 16","not applicable","T-29","Germany","DEU","1","0","P-01808","Kobierski","Stanislaus","0","T-29","Germany","DEU","25'","25","0","first half","0","0"
"80","G-0080","1934","1934 FIFA World Cup","M-1934-03","Germany v Belgium","1934-05-27","round of 16","not applicable","T-29","Germany","DEU","1","0","P-06647","Siffling","Otto","0","T-29","Germany","DEU","49'","49","0","second half","0","0"
"81","G-0081","1934","1934 FIFA World Cup","M-1934-03","Germany v Belgium","1934-05-27","round of 16","not applicable","T-29","Germany","DEU","1","0","P-03649","Conen","Edmund","0","T-29","Germany","DEU","66'","66","0","second half","0","0"
"82","G-0082","1934","1934 FIFA World Cup","M-1934-03","Germany v Belgium","1934-05-27","round of 16","not applicable","T-29","Germany","DEU","1","0","P-03649","Conen","Edmund","0","T-29","Germany","DEU","70'","70","0","second half","0","0"
"83","G-0083","1934","1934 FIFA World Cup","M-1934-03","Germany v Belgium","1934-05-27","round of 16","not applicable","T-29","Germany","DEU","1","0","P-03649","Conen","Edmund","0","T-29","Germany","DEU","87'","87","0","second half","0","0"
"84","G-0084","1934","1934 FIFA World Cup","M-1934-03","Germany v Belgium","1934-05-27","round of 16","not applicable","T-06","Belgium","BEL","0","1","P-00804","Voorhoof","Bernard","0","T-06","Belgium","BEL","29'","29","0","first half","0","0"
"85","G-0085","1934","1934 FIFA World Cup","M-1934-03","Germany v Belgium","1934-05-27","round of 16","not applicable","T-06","Belgium","BEL","0","1","P-00804","Voorhoof","Bernard","0","T-06","Belgium","BEL","43'","43","0","first half","0","0"
"86","G-0086","1934","1934 FIFA World Cup","M-1934-04","Hungary v Egypt","1934-05-27","round of 16","not applicable","T-34","Hungary","HUN","1","0","P-09365","Teleki","Pál","0","T-34","Hungary","HUN","11'","11","0","first half","0","0"
"87","G-0087","1934","1934 FIFA World Cup","M-1934-04","Hungary v Egypt","1934-05-27","round of 16","not applicable","T-34","Hungary","HUN","1","0","P-07150","Toldi","Géza","0","T-34","Hungary","HUN","31'","31","0","first half","0","0"
"88","G-0088","1934","1934 FIFA World Cup","M-1934-04","Hungary v Egypt","1934-05-27","round of 16","not applicable","T-34","Hungary","HUN","1","0","P-07150","Toldi","Géza","0","T-34","Hungary","HUN","61'","61","0","second half","0","0"
"89","G-0089","1934","1934 FIFA World Cup","M-1934-04","Hungary v Egypt","1934-05-27","round of 16","not applicable","T-34","Hungary","HUN","1","0","P-04863","Vincze","Jenő","0","T-34","Hungary","HUN","53'","53","0","second half","0","0"
"90","G-0090","1934","1934 FIFA World Cup","M-1934-04","Hungary v Egypt","1934-05-27","round of 16","not applicable","T-25","Egypt","EGY","0","1","P-07685","Fawzi","Abdulrahman","0","T-25","Egypt","EGY","35'","35","0","first half","0","0"
"91","G-0091","1934","1934 FIFA World Cup","M-1934-04","Hungary v Egypt","1934-05-27","round of 16","not applicable","T-25","Egypt","EGY","0","1","P-07685","Fawzi","Abdulrahman","0","T-25","Egypt","EGY","39'","39","0","first half","0","0"
"92","G-0092","1934","1934 FIFA World Cup","M-1934-05","Italy v United States","1934-05-27","round of 16","not applicable","T-39","Italy","ITA","1","0","P-02250","Schiavio","Angelo","0","T-39","Italy","ITA","18'","18","0","first half","0","0"
"93","G-0093","1934","1934 FIFA World Cup","M-1934-05","Italy v United States","1934-05-27","round of 16","not applicable","T-39","Italy","ITA","1","0","P-02250","Schiavio","Angelo","0","T-39","Italy","ITA","29'","29","0","first half","0","0"
"94","G-0094","1934","1934 FIFA World Cup","M-1934-05","Italy v United States","1934-05-27","round of 16","not applicable","T-39","Italy","ITA","1","0","P-02250","Schiavio","Angelo","0","T-39","Italy","ITA","64'","64","0","second half","0","0"
"95","G-0095","1934","1934 FIFA World Cup","M-1934-05","Italy v United States","1934-05-27","round of 16","not applicable","T-39","Italy","ITA","1","0","P-06734","Orsi","Raimundo","0","T-39","Italy","ITA","20'","20","0","first half","0","0"
"96","G-0096","1934","1934 FIFA World Cup","M-1934-05","Italy v United States","1934-05-27","round of 16","not applicable","T-39","Italy","ITA","1","0","P-06734","Orsi","Raimundo","0","T-39","Italy","ITA","69'","69","0","second half","0","0"
"97","G-0097","1934","1934 FIFA World Cup","M-1934-05","Italy v United States","1934-05-27","round of 16","not applicable","T-39","Italy","ITA","1","0","P-06750","Ferrari","Giovanni","0","T-39","Italy","ITA","63'","63","0","second half","0","0"
"98","G-0098","1934","1934 FIFA World Cup","M-1934-05","Italy v United States","1934-05-27","round of 16","not applicable","T-39","Italy","ITA","1","0","P-03621","Meazza","Giuseppe","0","T-39","Italy","ITA","90'","90","0","second half","0","0"
"99","G-0099","1934","1934 FIFA World Cup","M-1934-05","Italy v United States","1934-05-27","round of 16","not applicable","T-79","United States","USA","0","1","P-01139","Donelli","Aldo","0","T-79","United States","USA","57'","57","0","second half","0","0"
"100","G-0100","1934","1934 FIFA World Cup","M-1934-06","Spain v Brazil","1934-05-27","round of 16","not applicable","T-70","Spain","ESP","1","0","P-09183","Iraragorri","José","0","T-70","Spain","ESP","18'","18","0","first half","0","1"
"101","G-0101","1934","1934 FIFA World Cup","M-1934-06","Spain v Brazil","1934-05-27","round of 16","not applicable","T-70","Spain","ESP","1","0","P-09183","Iraragorri","José","0","T-70","Spain","ESP","25'","25","0","first half","0","0"
"102","G-0102","1934","1934 FIFA World Cup","M-1934-06","Spain v Brazil","1934-05-27","round of 16","not applicable","T-70","Spain","ESP","1","0","P-02668","Lángara","Isidro","0","T-70","Spain","ESP","29'","29","0","first half","0","0"
"103","G-0103","1934","1934 FIFA World Cup","M-1934-06","Spain v Brazil","1934-05-27","round of 16","not applicable","T-09","Brazil","BRA","0","1","P-03023","Leônidas","not applicable","0","T-09","Brazil","BRA","55'","55","0","second half","0","0"
"104","G-0104","1934","1934 FIFA World Cup","M-1934-07","Sweden v Argentina","1934-05-27","round of 16","not applicable","T-71","Sweden","SWE","1","0","P-06290","Jonasson","Sven","0","T-71","Sweden","SWE","9'","9","0","first half","0","0"
"105","G-0105","1934","1934 FIFA World Cup","M-1934-07","Sweden v Argentina","1934-05-27","round of 16","not applicable","T-71","Sweden","SWE","1","0","P-06290","Jonasson","Sven","0","T-71","Sweden","SWE","67'","67","0","second half","0","0"
"106","G-0106","1934","1934 FIFA World Cup","M-1934-07","Sweden v Argentina","1934-05-27","round of 16","not applicable","T-71","Sweden","SWE","1","0","P-01191","Kroon","Knut","0","T-71","Sweden","SWE","79'","79","0","second half","0","0"
"107","G-0107","1934","1934 FIFA World Cup","M-1934-07","Sweden v Argentina","1934-05-27","round of 16","not applicable","T-03","Argentina","ARG","0","1","P-09883","Belis","Ernesto","0","T-03","Argentina","ARG","4'","4","0","first half","0","0"
